GR,fed_fis,fed_mofs,anova,no_fs
0,0.48881789137380194,0.865814696485623,0.8913738019169329,0.13099041533546327
1,0.8785942492012779,0.8977635782747604,0.8849840255591054,0.9137380191693291
2,0.9105431309904153,0.9137380191693291,0.9137380191693291,0.9329073482428115
3,0.9201277955271565,0.9297124600638977,0.9233226837060703,0.9329073482428115
4,0.9201277955271565,0.9265175718849841,0.9424920127795527,0.9297124600638977
5,0.939297124600639,0.9265175718849841,0.939297124600639,0.9456869009584664
6,0.939297124600639,0.9265175718849841,0.939297124600639,0.9329073482428115
7,0.9424920127795527,0.9265175718849841,0.939297124600639,0.9456869009584664
8,0.9488817891373802,0.9201277955271565,0.939297124600639,0.9361022364217252
9,0.952076677316294,0.9201277955271565,0.9329073482428115,0.9361022364217252
10,0.9361022364217252,0.9169329073482428,0.9297124600638977,0.9361022364217252
11,0.9361022364217252,0.9137380191693291,0.9297124600638977,0.9297124600638977
12,0.9424920127795527,0.9265175718849841,0.9329073482428115,0.939297124600639
13,0.939297124600639,0.9169329073482428,0.9265175718849841,0.9361022364217252
14,0.9456869009584664,0.9169329073482428,0.9424920127795527,0.952076677316294
15,0.9456869009584664,0.9169329073482428,0.9329073482428115,0.9488817891373802
16,0.9456869009584664,0.9201277955271565,0.9456869009584664,0.952076677316294
17,0.9424920127795527,0.9137380191693291,0.9488817891373802,0.9361022364217252
18,0.9424920127795527,0.9169329073482428,0.9488817891373802,0.9456869009584664
19,0.9424920127795527,0.9169329073482428,0.9456869009584664,0.9488817891373802
20,0.9456869009584664,0.9297124600638977,0.9456869009584664,0.9456869009584664
21,0.9456869009584664,0.9361022364217252,0.9456869009584664,0.9488817891373802
22,0.9456869009584664,0.9361022364217252,0.9456869009584664,0.9456869009584664
23,0.9456869009584664,0.9361022364217252,0.9456869009584664,0.9488817891373802
24,0.9488817891373802,0.9361022364217252,0.9456869009584664,0.9488817891373802
25,0.9488817891373802,0.939297124600639,0.9456869009584664,0.9456869009584664
26,0.9488817891373802,0.939297124600639,0.9456869009584664,0.9456869009584664
27,0.952076677316294,0.939297124600639,0.9456869009584664,0.9424920127795527
28,0.9488817891373802,0.9361022364217252,0.9456869009584664,0.939297124600639
29,0.9456869009584664,0.9361022364217252,0.9456869009584664,0.9329073482428115
30,0.9488817891373802,0.9361022364217252,0.9456869009584664,0.9361022364217252
31,0.9488817891373802,0.9361022364217252,0.9456869009584664,0.939297124600639
32,0.9456869009584664,0.939297124600639,0.9456869009584664,0.9456869009584664
33,0.9456869009584664,0.939297124600639,0.9456869009584664,0.9456869009584664
34,0.9456869009584664,0.939297124600639,0.9424920127795527,0.9456869009584664
35,0.9456869009584664,0.9361022364217252,0.9424920127795527,0.9456869009584664
36,0.952076677316294,0.9361022364217252,0.9456869009584664,0.9456869009584664
37,0.9552715654952076,0.9361022364217252,0.9456869009584664,0.9424920127795527
38,0.9552715654952076,0.9361022364217252,0.9456869009584664,0.939297124600639
39,0.9456869009584664,0.9361022364217252,0.9424920127795527,0.9424920127795527
40,0.952076677316294,0.9361022364217252,0.9456869009584664,0.9456869009584664
41,0.9456869009584664,0.9361022364217252,0.9424920127795527,0.9456869009584664
42,0.952076677316294,0.9361022364217252,0.9456869009584664,0.9456869009584664
