GR,fed_fis,fed_mofs,anova,no_fs
0,1.3968703049879807,1.388878612029247,1.451001446063702,1.427311041416266
1,1.3568304599859775,1.3508604392027244,1.4029703776041667,1.3884623209635416
2,1.3372256547976762,1.3275218474559294,1.3685435759715545,1.364991955879407
3,1.329237561348157,1.3158553685897436,1.3514828412960738,1.3469017615685097
4,1.317705829326923,1.3058969350961538,1.3353778545673076,1.330808355869391
5,1.3160611666165865,1.300251965645032,1.3252658941806892,1.3199448805588943
6,1.3149251302083333,1.3002843612279646,1.3188834948417467,1.31070799216246
7,1.3111073029346956,1.3026453262720352,1.315607158954327,1.3081658779046474
8,1.3086507161458334,1.3031634990985577,1.3091030805538861,1.3022068903996393
9,1.3068792098607773,1.3034652318709936,1.3036075689853766,1.3004738049629407
10,1.3058244754106572,1.3063746525691107,1.304014861278045,1.3009416629106572
11,1.3060406024639424,1.3073980086889023,1.3036193065154247,1.3042646359174679
12,1.3033142872345753,1.307108874198718,1.2974775265424678,1.3012100610977564
13,1.3059951390975562,1.3097718850160256,1.2975731482872597,1.3016043638571715
14,1.2967481564252805,1.303408969976963,1.2875930394881812,1.2949425330528845
15,1.3032994979467147,1.3069739708533654,1.2903270232371795,1.3001122107872596
16,1.304026364057492,1.3084253555689103,1.2868160149989984,1.2987147404597357
17,1.3034980187049279,1.3112060546875,1.2865028576973156,1.3010098188351362
18,1.3056812775440705,1.3130322578625802,1.2852955353565705,1.3014353434244792
19,1.3018705710386618,1.3086195725661058,1.2788838704427083,1.2988611465845352
20,1.3025129269330928,1.3104154146634615,1.2814729348207132,1.2997325408153044
21,1.3052496494391026,1.3118959867037259,1.2862786708733975,1.3040209647936698
22,1.303934811323117,1.3106580685346554,1.2821156037159456,1.3011978540665063
23,1.3075552915915465,1.314119622646234,1.2876282520783253,1.3035938752003204
24,1.2965519049228766,1.3043059520232372,1.2744326860476762,1.2947979266826923
25,1.3005182510767228,1.3056024013421474,1.2772945306239984,1.2985236534705529
26,1.3024822528545672,1.3072055131961138,1.2749854454627403,1.2996295635516828
27,1.3041968712439904,1.3118560008513622,1.2785473945813302,1.302444066756811
28,1.303805698492588,1.3108075264172676,1.2753004807692307,1.3013760297726362
29,1.3001686291816907,1.3067979079026442,1.2715342986278044,1.2984017396584535
30,1.299691850711138,1.3077305720402643,1.2739162347255608,1.298602060171274
31,1.3042601756560497,1.3089716202173478,1.280492225060096,1.3023367857321715
32,1.3013433994391026,1.306886017628205,1.2765511537209535,1.298971948868189
33,1.3094717172475963,1.3139923878205129,1.2843275021284055,1.3048462696564502
34,1.2955697866586537,1.3006497896634615,1.270238553560697,1.293867923051883
35,1.301218746869992,1.303443634815705,1.2756270188551682,1.2993124154897837
36,1.3026411790114183,1.3047392233824118,1.2732493865184296,1.2994652381310097
37,1.303260294596354,1.3082298083183093,1.2748834854517228,1.3004931327624198
38,1.3013642139923878,1.3065044696514423,1.2721174191205928,1.2994753324068509
39,1.2997750306740785,1.3039051544971956,1.2702049059745593,1.297259286733774
40,1.3009503486828926,1.3059722900390625,1.273584923377404,1.2993401943108975
41,1.3024667593149037,1.3055865165514824,1.277914350460737,1.3004587809244792
42,1.3024129231770833,1.3051289876302083,1.2777450170272435,1.2998053917518029
43,1.307791528946314,1.3114188952323718,1.2832575871394232,1.3031686636117787
44,1.29567628518129,1.2994088197365785,1.2694114489433093,1.2920978252704327
45,1.2998494466145833,1.3011019975711138,1.2726134471404247,1.2964415721404248
46,1.303494888696915,1.304895723783053,1.2729122846554488,1.297892096103766
47,1.303680889423077,1.3067243527143428,1.2741668701171875,1.2996576553735977
48,1.3006913405198317,1.306220499674479,1.2718553591997195,1.2970103728465545
49,1.2985315567407854,1.3025990804036458,1.269640878530649,1.2946763258713943
50,1.2990729698768029,1.304507602789463,1.2731619027944712,1.2953568678635818
51,1.300215344551282,1.3037423158303285,1.2766568697415865,1.2972811967898639
52,1.2997054662459935,1.3037494365985578,1.2766529572315706,1.2963936830178284
53,1.304721225836338,1.3097809620392629,1.2799509684244792,1.297691619090545
54,1.2951189872546074,1.300180131961138,1.2706798846905047,1.2903157552083333
55,1.2991157727363782,1.301641845703125,1.2726578150040064,1.2932832375550882
56,1.3011253943810097,1.3038880959535257,1.272245123447516,1.2943426670172276
57,1.3017130533854167,1.3068677070813302,1.2740125607221555,1.295736616085737
58,1.2977919358473557,1.3051501151842948,1.2704542893629807,1.2935711200420672
59,1.2963099553034856,1.302652055789263,1.2675145858373398,1.2907244560046074
60,1.2963750594701522,1.30444578513121,1.2714881310096153,1.2909888634314903
61,1.2978931133563703,1.3044637826772836,1.2750291873247195,1.293826450445713
62,1.298980243389423,1.3060145451472356,1.2779064471905048,1.294645025791266
63,1.3030652168469552,1.3112809401292067,1.2794579139122597,1.295717523036859
64,1.2944399320162259,1.3022946088741987,1.2709672194260817,1.28741455078125
65,1.296093984750601,1.3021366217197516,1.2704029572315705,1.2891109368739984
66,1.298731173001803,1.3044009477664262,1.2705452943459534,1.2910235282702325
67,1.298316212189503,1.3055833865434696,1.2709020370092148,1.291343023838141
68,1.2964517446664663,1.3052540314503205,1.2695178692157452,1.2907649113581732
69,1.2943622295673076,1.3026607415614984,1.2673255333533653,1.2876736371945112
70,1.2983540852864583,1.3067980644030448,1.2741841634114583,1.2909210987580129
71,1.2964595696864984,1.3046804574819713,1.2752953162560097,1.291570340670072
72,1.298494857396835,1.3078438000801282,1.277884537134415,1.2925353221404248
73,1.3014847975510817,1.3111553485576923,1.2765614044971956,1.2924300756209937
74,1.2936668982872597,1.302955118815104,1.2696024576822917,1.2849811260516828
75,1.2970433944310897,1.30315919533754,1.270452176607572,1.288375463241186
76,1.2983115954276843,1.3060319166917067,1.2713201278295272,1.2890892615685097
77,1.2985778026091748,1.306863012069311,1.2722415239383014,1.2904576228215143
78,1.2945377447666266,1.3052344689002404,1.2681971623347357,1.28755618364383
79,1.296227010091146,1.307091267903646,1.2708292643229167,1.2886782915164263
80,1.297265625,1.3078809689252804,1.274697015224359,1.2902183337089344
81,1.295700464493189,1.306336935972556,1.2746434920873397,1.2898824838491587
82,1.2962301400991587,1.307383297651242,1.2764315091646634,1.2901207557091345
83,1.3002421061197917,1.3119488055889423,1.2764241536458334,1.2898653470552885
84,1.2950651511167868,1.305966030023037,1.2716274946163861,1.2851606320112179
85,1.2979978121243991,1.3058854323167068,1.2710953150040065,1.2873582888872195
86,1.2974320631760818,1.3081852057041266,1.27172608986879,1.2880544809194712
87,1.2983414870042067,1.307857415614984,1.2726707262870594,1.2894341884515224
88,1.2944820306239984,1.307171865609976,1.2686862260867389,1.2865420610476763
89,1.2945721748547676,1.3075709416316106,1.270378856169872,1.287651805388622
90,1.2957380245893428,1.3096940260667067,1.274347628079928,1.2893194736578526
91,1.2954818334334937,1.308631623096955,1.2774770883413462,1.2910108517377805
92,1.2956809801933094,1.311002212915665,1.2795849922375802,1.2902891501402243
93,1.299185806665665,1.3145510942508012,1.2794626871744792,1.2906475360576923
94,1.2936284774389022,1.3076172657502003,1.2728348952073318,1.2846865922976762
95,1.2931986490885417,1.3042547763922276,1.2694871168870192,1.2844027788211139
96,1.2983140211838942,1.3114796956380208,1.2736146584535257,1.2896860758463542
97,1.2992131942357772,1.3102840325771234,1.2759609907101361,1.2914335593199118
98,1.2952226687700321,1.3101825420673077,1.2712057260366587,1.288283206255008
99,1.291720737555088,1.3074982471955128,1.2694045629256812,1.285332234700521
100,1.2930118658603766,1.309534395658053,1.273727808243189,1.2874935052333734
101,1.2921268560947516,1.3088794414813703,1.276137210161258,1.2889041215945514
102,1.293309607872596,1.3104100936498397,1.2782048152043268,1.288851302709335
103,1.297079389523237,1.3144939716045674,1.279595164763622,1.290786351913061
104,1.2907007461939102,1.3065379607371794,1.2705360608223157,1.2832237830528845
105,1.2922386756310096,1.3052850185296474,1.2693112886868991,1.2840386806390225
106,1.2958780924479167,1.3104334904597357,1.2730149489182692,1.2886885422926682
107,1.2994930952023238,1.312698755508814,1.2792873284755608,1.2936112623948317
108,1.2931016970903446,1.3102229974208734,1.2706317608173077,1.288381879757612
109,1.2916148650340544,1.3086861634865785,1.2697408040364584,1.2863927596654647
110,1.2904398600260416,1.308796887520032,1.2725008451021635,1.2869761931590544
111,1.2891517834785657,1.3077933287009216,1.2741400302984776,1.2868367513020833
112,1.2911737686548477,1.3083606426532453,1.276827142177484,1.2879897680038062
113,1.2995646158854166,1.3170806102263621,1.2836631579276843,1.2934664995242389
114,1.2882518279246795,1.3066140981820913,1.2699185102413861,1.2825584998497597
115,1.291046142578125,1.306536630483774,1.2702317457932693,1.2837491548978366
116,1.2937378712189502,1.3114169389773638,1.2726918538411458,1.287887181991186
117,1.3012029403295273,1.315298853165064,1.2816842886117787,1.2968089568309296
118,1.293647257486979,1.311440648788061,1.2706024952423878,1.2904404860276442
119,1.2902126996945111,1.3076671111278044,1.2691939916366186,1.285975060096154
120,1.2907510610727164,1.3096901135566907,1.2735878186348157,1.2880154340695111
121,1.2898169884314903,1.3089529184194713,1.2750055557642228,1.2878245818309295
122,1.2937583727714344,1.3111830491286058,1.2807091346153847,1.2910215720152243
123,1.301724869165665,1.3198326697716347,1.287039575821314,1.2962780292217548
124,1.289063986753806,1.3073433900490785,1.271340551131811,1.2841983110476762
125,1.2908065404647435,1.307698254707532,1.2711165990584936,1.2848355024288862
126,1.2948577880859375,1.312078857421875,1.275972884740585,1.2894373184595354
127,1.3007467416616587,1.3155315692608174,1.2828026404747597,1.2967635717147437
128,1.291666979667468,1.3106520432692308,1.2701299422826522,1.2902565198066906
129,1.2916971059945914,1.3116416735526844,1.2732229379507212,1.2889146071213942
130,1.2920335818559696,1.3116359612880608,1.2773784930889422,1.290755130083133
131,1.2925985483022837,1.310828419220753,1.2786678216396234,1.291165004632412
132,1.2933953700921474,1.3117831499148638,1.2835230900691106,1.2932465382111378
133,1.2976474859775642,1.3161448943309295,1.2841928335336539,1.293749765249399
134,1.2889700865134215,1.3082025772485977,1.2731983673878204,1.2858755258413461
135,1.2913023337339744,1.3096094376001604,1.2743367513020833,1.2870921599559295
136,1.2952013064653445,1.3132443159054488,1.2789417755909456,1.2927855662810497
137,1.2961572891626603,1.3132989345452724,1.2809307391826923,1.2946981576772836
138,1.2924078525641025,1.3115336100260417,1.2740400265424678,1.2927849402794471
139,1.2912753374148638,1.311316935221354,1.2753216865735175,1.2901705228365385
140,1.2929993458283253,1.3131673177083334,1.2804900340544871,1.2937741010616988
141,1.2901504907852563,1.3097769712790466,1.2784566243489583,1.2909272022736378
142,1.2907322810246393,1.3096016908303285,1.2820709228515625,1.2921814747345752
143,1.2926555926983172,1.3115769606370193,1.2807864458133014,1.2903918926532452
144,1.2897206624348958,1.3083004682491988,1.2754144130608975,1.287192633213141
