GR fed_fis fed_mofs anova no_fs
0 0.6687222567471591 0.7044414173473011 0.6798712296919389 0.6892832669344815
1 0.49251708984375 0.5239651766690341 0.5280518618496981 0.5585580652410334
2 0.38383105884898794 0.41668427207253195 0.4099300384521484 0.46588654951615766
3 0.31336506930264557 0.3432719837535511 0.31987811001864347 0.3865689711137251
4 0.26724588220769707 0.2967243541370739 0.2568326083096591 0.32144862088290127
5 0.23616792505437678 0.26416487260298294 0.2119877728548917 0.2667898871681907
6 0.21468393152410334 0.24319159767844462 0.1798990249633789 0.21887408169833097
7 0.1994162299416282 0.23237247467041017 0.1579092892733487 0.18322023911909624
8 0.18795237107710405 0.22337218197909267 0.13915030739524148 0.1550622593272816
9 0.17937956723299894 0.22016575553200463 0.1256132039156827 0.13234493082219903
10 0.17266171195290306 0.21932551644065162 0.11761232722889294 0.1162788304415616
11 0.16716169877485795 0.21698518232865768 0.10988895242864435 0.10185272910378196
12 0.1631363261829723 0.2183418100530451 0.10409690683538264 0.09222492738203569
13 0.15978135195645418 0.22205879905007103 0.1019607890735973 0.0848796237598766
14 0.15669924996115944 0.2219388961791992 0.09855395230379972 0.07714467482133346
15 0.1544980829412287 0.22614307403564454 0.09642471833662554 0.07159058830954812
16 0.15281930403275923 0.23103315179998224 0.09665843790227717 0.06692001602866433
17 0.1513460332697088 0.23219951282848011 0.09462641802701083 0.06152520613236861
18 0.1505482240156694 0.23765825791792436 0.09374757246537642 0.05813496329567649
19 0.15018808191472835 0.242677133733576 0.09429067264903676 0.05496609861200506
20 0.14995698061856358 0.24390534487637608 0.09252013293179599 0.05124145421114835
21 0.15074244412508878 0.24954182017933238 0.09182413274591619 0.049402622743086384
22 0.151894118569114 0.2551543495871804 0.09211522015658292 0.047809813239357686
23 0.15280175642533736 0.2553043712269176 0.09018845124678178 0.045285727761008525
24 0.15375484119762073 0.259906005859375 0.08968382748690519 0.04411286007274281
25 0.154960805719549 0.26515438773415306 0.09026288119229403 0.04311431104486639
26 0.15587121790105646 0.2647372332486239 0.08867399042302912 0.040735868974165486
27 0.15681242509321733 0.2697290767322887 0.08853911486538973 0.03984198136763139
28 0.15802922682328657 0.2747034419666637 0.08934241208163175 0.0390279466455633
29 0.15894674821333452 0.27328716624866833 0.08805464831265536 0.03703149448741566
30 0.15976411646062677 0.27788231589577417 0.0880451115694913 0.036336120692166414
