GR fed_fis fed_mofs anova no_fs
0 0.6175579071044922 0.47455355326334636 0.6380783081054687 0.7215279261271159
1 0.3015702883402506 0.27762139638264977 0.3753330230712891 0.44485721588134763
2 0.205556853612264 0.18494172096252443 0.22292596499125164 0.28236942291259765
3 0.1618704636891683 0.13918431599934897 0.15352072715759277 0.20230967203776043
4 0.13758705457051595 0.11113692124684652 0.11730964183807373 0.15672121047973633
5 0.12220198313395182 0.09536957740783691 0.09830555121103922 0.13088757991790773
6 0.11077141761779785 0.08262745539347331 0.0842177152633667 0.1105219841003418
7 0.10396718184153239 0.07468183040618896 0.07636098861694336 0.09860492547353109
8 0.09578379789988199 0.06783214410146078 0.06888330777486165 0.08750669161478679
9 0.09161458810170492 0.06230010986328125 0.06420184771219889 0.07883102893829345
10 0.08614765008290609 0.05886455774307251 0.06044848362604777 0.0731428066889445
11 0.08297615051269532 0.05440839131673177 0.05634770393371582 0.06664673487345378
12 0.07878823280334472 0.05236574411392212 0.05393274227778117 0.06331897179285685
13 0.0778085708618164 0.04873131116231282 0.05100329319636027 0.05816880464553833
14 0.07369224230448405 0.04700394868850708 0.048082868258158364 0.05573256413141887
15 0.07373754183451335 0.0447083314259847 0.046433103084564206 0.05226624011993408
16 0.07166547775268554 0.042897240320841475 0.04453679323196411 0.050050016244252524
17 0.07001991271972656 0.04121502637863159 0.04239080746968587 0.047349997361501056
18 0.06884236335754394 0.03995724121729533 0.041410013039906816 0.04612955649693807
19 0.0665268103281657 0.03821274042129517 0.03942110538482666 0.043326938152313234
20 0.06575154463450114 0.03693250815073649 0.03828229904174805 0.042477675278981525
21 0.06294564406077068 0.035428643226623535 0.03625691334406535 0.04027812083562215
22 0.06211510896682739 0.033666845162709555 0.03464665412902832 0.038541499773661295
23 0.059827605883280434 0.03292785088221232 0.03400578498840332 0.037635604540506996
24 0.0586464246114095 0.031195165713628133 0.03207234541575114 0.03581705093383789
25 0.05651138623555501 0.030744316180547078 0.03179595867792765 0.03549667596817017
26 0.055691011746724445 0.02910671631495158 0.030127811431884765 0.03357763687769572
27 0.052834681669871014 0.028660398721694947 0.029169789950052896 0.03310268719991048
28 0.05302273035049439 0.027744807799657187 0.028348469734191896 0.03180277148882548
29 0.05159229834874471 0.026902286211649577 0.027614607413609823 0.0311141828695933
30 0.05040320158004761 0.0261879026889801 0.02641162077585856 0.029865165551503498
31 0.04971023797988892 0.025565371910730997 0.026137731472651162 0.02946322758992513
32 0.047997701168060306 0.02471295197804769 0.025259929895401 0.02811578710873922
33 0.047473220030466716 0.02418962518374125 0.024593351284662883 0.027885377407073975
34 0.04549622933069865 0.023380162318547566 0.02371068994204203 0.026707563797632852
35 0.04497906764348348 0.022511404752731324 0.022673366467158 0.0258511483669281
36 0.043534783522288005 0.02223451336224874 0.02233429948488871 0.025400672356287637
37 0.04278955062230428 0.021306532621383666 0.020911628007888795 0.02449438770612081
38 0.04145345687866211 0.02130335569381714 0.020844235022862753 0.024591928720474242
39 0.040979957580566405 0.0202738622824351 0.01953778862953186 0.023383617401123047
40 0.03898483117421468 0.020209483305613198 0.019138473272323608 0.023291009664535522
41 0.039252595106760664 0.019748361905415852 0.018466564019521077 0.022614107529322306
42 0.03835602601369222 0.019246967633565266 0.018089842796325684 0.022219433387120565
43 0.03755906820297241 0.018880335489908855 0.017391504844029744 0.02143383224805196
44 0.03712483644485474 0.01851463516553243 0.01730380455652873 0.021233963966369628
45 0.03604996601740519 0.017964808146158855 0.01686318516731262 0.020373048384984334
46 0.03574800491333008 0.017766642570495605 0.016410441199938456 0.020189873377482095
47 0.03439128001530965 0.017248868942260742 0.015827088554700216 0.01938881476720174
48 0.03415582180023193 0.016729931036631267 0.015206275383631389 0.0187883992989858
49 0.033169470230738324 0.016715357700983684 0.014951483408610026 0.018496026595433552
50 0.03270822763442993 0.016150768597920737 0.014072595040003459 0.017881673574447633
51 0.0319817860921224 0.016352395216623943 0.014187069733937581 0.01795697013537089
52 0.031637070576349895 0.015697677930196125 0.013298295934995015 0.01705885132153829
53 0.03042477567990621 0.015846256415049234 0.013256141543388366 0.017077696323394776
54 0.030796788136164346 0.015692522128423054 0.01281072994073232 0.0165732612212499
55 0.03025738000869751 0.01542232632637024 0.012585581342379252 0.01632088323434194
56 0.02975831429163615 0.015333820382754009 0.012193698684374492 0.015796799461046854
57 0.02960808277130127 0.015171207984288533 0.012147944172223408 0.015632946292559305
58 0.02889824112256368 0.014921278754870097 0.011963225404421489 0.015016043186187744
59 0.028733032941818237 0.014884976545969646 0.011647988359133403 0.014914156993230183
60 0.027825874090194703 0.014596474170684815 0.011294157306353251 0.01427868107954661
61 0.027719386418660483 0.014248191316922506 0.010939001043637594 0.013874918222427368
62 0.027005773782730103 0.01432716945807139 0.010812326272328695 0.013676217198371888
63 0.026718664169311523 0.013919185598691304 0.01030865212281545 0.013211098313331605
64 0.02624793251355489 0.014186557133992512 0.010476585229237874 0.01330260435740153
65 0.025965330998102824 0.013670824964841207 0.00992156167825063 0.012617515524228413
66 0.025170165300369262 0.013896466294924418 0.01002783477306366 0.012622456749280293
67 0.025462859869003297 0.013879486918449402 0.009777119755744934 0.012237152457237244
68 0.0250821848710378 0.013650903105735778 0.009681374828020731 0.01203856865564982
69 0.024783450365066528 0.01365087330341339 0.009481438994407653 0.011599769194920858
70 0.024673316876093546 0.013479262590408325 0.00946712891260783 0.011451069513956707
71 0.02417857845624288 0.013333500425020853 0.009423778454462687 0.01101898451646169
72 0.024124052127202353 0.013269821802775065 0.009216134746869406 0.010906609892845153
